road_id,unique_key,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp
66873554_road,66873554,6,Unspecified,Entrance,E 110 St & Lexington Av to Uptown & The
66882151_road,66882151,2,2 3 to Flatbush - New Lots,Platform,
66883549_road,66883549,FDR Dr,Southbound/Downtown,Midtwon Tun E 34th St (Exit 8) - E 23 St (Exit 7),Roadway
66874971_road,66874971,B,B D Uptown & The Bronx,Platform,
66876581_road,66876581,Grand Central Pkwy,West/Toward RFK Triborough Bridge,Francis Lewis Blvd (Exit 20A),Ramp
66880893_road,66880893,Grand Central Pkwy,West/Toward RFK Triborough Bridge,Entrance Grand Central Pkwy,Ramp
66873639_road,66873639,Van Wyck Expwy,South/JFK Airport Bound,Rockaway Blvd (Exit 2),Ramp
66882163_road,66882163,6,Unspecified,Entrance,E 86 St & Lexington Av to Uptown & The B
66876409_road,66876409,D,Unspecified,Mezzanine,
66882329_road,66882329,West Shore Expwy,Northbound,Glen St (Exit 9) - JCT Staten Island Expwy (I-278),Roadway
66877832_road,66877832,D,Unspecified,Passageway,
66879257_road,66879257,1,1 Downtown,Platform,
66880742_road,66880742,B,Unspecified,Entrance,Crosby St & Houston St
66873555_road,66873555,C,Unspecified,Other,
66875214_road,66875214,Belt Pkwy,East/Queens Bound,Bay Pkwy (Exit 5) - Cropsey Ave Coney Is (Exit 6),Roadway
66873552_road,66873552,1,1 Downtown,Platform,
66880740_road,66880740,1,1 Downtown,Platform,
66878094_road,66878094,BQE/Gowanus Expwy,West/Staten Island Bound,92 St (Exit 17) - End Gowanus Expwy,Roadway
66883606_road,66883606,D,Unspecified,Entrance,DeKalb Av & Flatbush Av Ext.
66874969_road,66874969,C,Unspecified,Platform,
66874962_road,66874962,A,Unspecified,Stairway,
66880725_road,66880725,A,Unspecified,Stairway,
66877837_road,66877837,6,Unspecified,Other,
66879258_road,66879258,2,2 3 Uptown & The Bronx,Platform,
66883602_road,66883602,J,Unspecified,Platform,
66882160_road,66882160,L,L platform,Platform,
66882161_road,66882161,Q,Unspecified,Entrance,E 86 St & 2 Av
66883603_road,66883603,B,Unspecified,Passageway,
66882162_road,66882162,3,1 2 3 Downtown & Brooklyn,Platform,
66877820_road,66877820,1,1 Downtown,Platform,
66882327_road,66882327,FDR Dr,Northbound/Uptown,E 34 St Midtown Tun(Exit 8),Ramp
66874966_road,66874966,B,Unspecified,Mezzanine,
66879244_road,66879244,C,Unspecified,Platform,
66882155_road,66882155,C,Unspecified,Platform,
