taxi_id,unique_key,taxi_company_borough,taxi_pick_up_location
66774234_taxi,66774234,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66776200_taxi,66776200,Unspecified,"53 SPRING STREET, MANHATTAN (NEW YORK), NY, 10012"
66776203_taxi,66776203,Unspecified,"859 9 AVENUE, MANHATTAN (NEW YORK), NY, 10019"
66776192_taxi,66776192,Unspecified,"MOYNIHAN TRAIN HALL, MANHATTAN (NEW YORK) ,NY, 10001"
66773423_taxi,66773423,Unspecified,"511 GRAND STREET, BROOKLYN, NY, 11211"
66774246_taxi,66774246,Unspecified,"510 58 STREET, BROOKLYN, NY, 11220"
66778129_taxi,66778129,Unspecified,"JEFFERSON AVENUE AND LEWIS AVENUE, BROOKLYN, NY, 11221"
66780149_taxi,66780149,MANHATTAN,"525 HUDSON STREET, MANHATTAN (NEW YORK), NY, 10014"
66774217_taxi,66774217,Unspecified,"9 AVENUE AND WEST   17 STREET, MANHATTAN, NY, 10011"
66773259_taxi,66773259,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66767225_taxi,66767225,Unspecified,"652 CONEY ISLAND AVENUE, BROOKLYN, NY, 11218"
66769712_taxi,66769712,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66769841_taxi,66769841,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66767207_taxi,66767207,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66768589_taxi,66768589,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66769714_taxi,66769714,Unspecified,"363 WEST BROADWAY, MANHATTAN (NEW YORK), NY, 10013"
66764788_taxi,66764788,QUEENS,"133-50 41 AVENUE, QUEENS (FLUSHING), NY, 11355"
66763474_taxi,66763474,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66763606_taxi,66763606,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66763510_taxi,66763510,Unspecified,"3 AVENUE AND EAST   34 STREET, MANHATTAN, NY, 10016"
66766146_taxi,66766146,MANHATTAN,"213 EAST   63 STREET, MANHATTAN (NEW YORK), NY, 10065"
66771128_taxi,66771128,QUEENS,"25-37 CRESCENT STREET, QUEENS (ASTORIA), NY, 11102"
66772227_taxi,66772227,BRONX,"156 BRUCKNER BOULEVARD, BRONX, NY, 10454"
66771125_taxi,66771125,Unspecified,"888 7 AVENUE, MANHATTAN (NEW YORK), NY, 10106"
66767254_taxi,66767254,Unspecified,"301 EAST   91 STREET, MANHATTAN (NEW YORK), NY, 10128"
66764747_taxi,66764747,Unspecified,"408 8 AVENUE, MANHATTAN (NEW YORK), NY, 10001"
66764762_taxi,66764762,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66767226_taxi,66767226,Unspecified,"2238 BATH AVENUE, BROOKLYN, NY, 11214"
66764771_taxi,66764771,Unspecified,"LA GUARDIA AIRPORT, QUEENS (EAST ELMHURST) ,NY, 11369"
66771022_taxi,66771022,Unspecified,"10 COLUMBUS CIRCLE, MANHATTAN (NEW YORK), NY, 10019"
66772255_taxi,66772255,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66764761_taxi,66764761,Unspecified,"133-53 39 AVENUE, QUEENS (FLUSHING), NY, 11354"
66764931_taxi,66764931,Unspecified,"85 EAST    9 STREET, MANHATTAN (NEW YORK), NY, 10003"
66766147_taxi,66766147,Unspecified,"528 EAST   20 STREET, MANHATTAN (NEW YORK), NY, 10009"
66769853_taxi,66769853,Unspecified,"330 3 AVENUE, MANHATTAN (NEW YORK), NY, 10010"
66771129_taxi,66771129,Unspecified,"123 EAST   37 STREET, MANHATTAN (NEW YORK), NY, 10016"
66764932_taxi,66764932,Unspecified,"544 LEXINGTON AVENUE, MANHATTAN (NEW YORK), NY, 10022"
66771130_taxi,66771130,Unspecified,"544 LEXINGTON AVENUE, MANHATTAN (NEW YORK), NY, 10022"
66764789_taxi,66764789,Unspecified,"333 PEARL STREET, MANHATTAN (NEW YORK), NY, 10038"
66763628_taxi,66763628,Unspecified,"ALLEN STREET AND EAST HOUSTON STREET, MANHATTAN, NY, 10002"
66764787_taxi,66764787,Unspecified,"79-02 WOODSIDE AVENUE, QUEENS (ELMHURST), NY, 11373"
66763625_taxi,66763625,Unspecified,"695 1 AVENUE, MANHATTAN (NEW YORK), NY, 10016"
66767355_taxi,66767355,Unspecified,"591 LEXINGTON AVENUE, MANHATTAN (NEW YORK), NY, 10022"
66772348_taxi,66772348,Unspecified,"591 LEXINGTON AVENUE, MANHATTAN (NEW YORK), NY, 10022"
66766145_taxi,66766145,Unspecified,"23 LEXINGTON AVENUE, MANHATTAN (NEW YORK), NY, 10010"
66771127_taxi,66771127,Unspecified,"420 ADELPHI STREET, BROOKLYN, NY, 11238"
66768608_taxi,66768608,Unspecified,"121 DEKALB AVENUE, BROOKLYN, NY, 11201"
66769820_taxi,66769820,Unspecified,"2276 12 AVENUE, MANHATTAN (NEW YORK), NY, 10027"
66772200_taxi,66772200,Unspecified,"EAST   43 STREET AND VANDERBILT AVENUE, MANHATTAN, NY, 10017"
66764933_taxi,66764933,Unspecified,"127 SMITH STREET, BROOKLYN, NY, 11201"
66763624_taxi,66763624,Unspecified,"129 SMITH STREET, BROOKLYN, NY, 11201"
